"","LFC","padj","DE"
"ADF43161.1",-5.07953994344844,2.54030594258686e-12,TRUE
"ADF43181.1",2.07215641881288,2.50521932759324e-15,TRUE
"ADF43182.1",3.16695832952165,1.51964259208402e-08,TRUE
"ADF43183.1",2.14675271196058,7.90340119944196e-05,TRUE
"ADF43190.1",-2.19143894554691,1.19082273203195e-22,TRUE
"ADF43193.1",-3.21032543766796,2.484548137931e-14,TRUE
"ADF43199.1",-2.82870199246267,0.0035208615216135,TRUE
"ChreCp032",2.07683645710268,0.0120792401282854,TRUE
"ChreCp035",3.06496604782303,9.83700476905253e-07,TRUE
"ChreCp036",-2.31598918986142,2.34382662828205e-08,TRUE
"ChreCp037",2.86594338270243,0.0251462658756881,TRUE
"ChreCp039",2.44072496472013,0.0430755853530008,TRUE
"ChreCp048",2.72984051188718,0.000215916729195529,TRUE
"ChreCp052",2.79056247584056,0.00554553103571643,TRUE
"ChreCp056",2.56554347924124,0.0101049063473386,TRUE
"ChreCp059",2.00329081289143,0.000131409431523677,TRUE
"ChreCp062",2.48509458261258,0.0011473631810207,TRUE
"ChreCp064",2.01832116231591,0.00138292129551361,TRUE
"ChreCp066",2.04388875531224,0.00175741367169769,TRUE
"ChreCp069",2.20295110019671,0.00459765722742237,TRUE
"ChrepMr16",2.35980487134922,5.02521993796453e-09,TRUE
"Cre01.g000150",2.15445043750116,3.40173433225833e-05,TRUE
"Cre01.g002650",4.36640366659725,1.29862204690419e-05,TRUE
"Cre01.g003000",2.41178602108784,3.58919970616308e-19,TRUE
"Cre01.g003200",2.40981101837003,6.4183614290302e-54,TRUE
"Cre01.g004157",-2.99074512289289,4.37705648053623e-19,TRUE
"Cre01.g004750",2.96626379174816,8.86773132989859e-07,TRUE
"Cre01.g005150",3.13335942841949,3.06608202953562e-15,TRUE
"Cre01.g005450",-2.04139211690037,3.87114660618359e-13,TRUE
"Cre01.g005750",2.5958896375534,8.23335751457391e-10,TRUE
"Cre01.g006750",2.95265106423408,1.97919692120094e-13,TRUE
"Cre01.g007950",3.30823609571471,1.54030465000664e-05,TRUE
"Cre01.g009100",-2.20176603944924,2.84293123464639e-08,TRUE
"Cre01.g009150",-2.32421434361118,1.0545041371964e-25,TRUE
"Cre01.g009350",2.19019588170208,1.94060419539193e-06,TRUE
"Cre01.g009800",-3.40845014761602,1.28476178277846e-30,TRUE
"Cre01.g010400",-3.13024477132115,9.09322812673235e-29,TRUE
"Cre01.g012550",-2.44495026417272,2.56533412170893e-12,TRUE
"Cre01.g012650",-2.11469270000058,7.40921399398382e-08,TRUE
"Cre01.g012700",-2.84977835045376,3.34672433733557e-11,TRUE
"Cre01.g012750",-3.62942093504071,5.66573732515406e-40,TRUE
"Cre01.g012850",-2.27648480287389,1.08204272246697e-11,TRUE
"Cre01.g015500",-2.023175884296,3.96469764876284e-09,TRUE
"Cre01.g015850",-2.25639649291143,4.07806996606295e-21,TRUE
"Cre01.g018550",-2.46982263509905,3.5696151274397e-40,TRUE
"Cre01.g019550",-2.76128057833081,3.74595490759076e-16,TRUE
"Cre01.g020800",-2.93487214155516,2.11161183476756e-24,TRUE
"Cre01.g020900",2.19977007019029,4.15839307508812e-36,TRUE
"Cre01.g022150",-3.91423719612843,7.72622073789445e-16,TRUE
"Cre01.g024500",-3.35519310525373,1.23412127700998e-21,TRUE
"Cre01.g025200",-2.53300703264033,2.73618056101315e-05,TRUE
"Cre01.g025950",-3.53493760037444,2.62953136427888e-13,TRUE
"Cre01.g027750",2.33256424636055,0.00380869667333415,TRUE
"Cre01.g028950",-2.38279729753151,3.24561742657052e-11,TRUE
"Cre01.g029400",-2.08893690689238,3.51499063229338e-26,TRUE
"Cre01.g031250",2.34768091164678,4.15325623268706e-53,TRUE
"Cre01.g031350",2.83053946355237,3.63785041831829e-22,TRUE
"Cre01.g033500",-2.950739345468,1.00954021866629e-07,TRUE
"Cre01.g033750",3.65204233845827,2.50045441481029e-14,TRUE
"Cre01.g034350",2.84053864408193,6.36417040074125e-09,TRUE
"Cre01.g034550",-2.04541961424095,2.33922951084981e-20,TRUE
"Cre01.g035300",2.84616643670825,0.0124632702218263,TRUE
"Cre01.g036350",3.35485759995501,2.761121486335e-15,TRUE
"Cre01.g036950",-2.56502491508939,7.19565623587947e-13,TRUE
"Cre01.g037300",4.15097808257592,5.29124284829096e-05,TRUE
"Cre01.g037600",-4.44238346853673,1.46252317069902e-49,TRUE
"Cre01.g037900",2.10849307484127,9.68410088174158e-24,TRUE
"Cre01.g041050",2.89157959829083,3.81428250240386e-15,TRUE
"Cre01.g042700",-6.19266438774062,2.19655969381546e-42,TRUE
"Cre01.g043550",-2.13413615625098,3.92473525426632e-36,TRUE
"Cre01.g044300",-3.35672542544327,2.9879903372307e-19,TRUE
"Cre01.g044850",2.72389114889455,5.61337829626074e-28,TRUE
"Cre01.g044950",2.66588980602136,0.00475446638720372,TRUE
"Cre01.g045200",7.50878944168793,8.01745343907731e-68,TRUE
"Cre01.g045700",2.90500624136692,2.35962098127978e-11,TRUE
"Cre01.g046450",-3.0432649870237,1.90174085046854e-06,TRUE
"Cre01.g046650",5.31545037275923,1.12682567532574e-33,TRUE
"Cre01.g047218",2.99541540118114,0.00818273737041346,TRUE
"Cre01.g048150",2.17656810084393,6.88620723323769e-29,TRUE
"Cre01.g049200",-4.6584425435338,3.12334002269275e-54,TRUE
"Cre01.g050150",2.0794452026007,3.99450017478141e-26,TRUE
"Cre01.g050750",-2.55596583612566,9.55460960402912e-08,TRUE
"Cre01.g051050",-2.25227498946128,1.38705159266718e-24,TRUE
"Cre01.g051250",-2.22865714913543,1.58858269915983e-23,TRUE
"Cre01.g051300",-2.28299166123705,7.93371029866723e-38,TRUE
"Cre01.g051885",-3.38245685834616,1.83210671822481e-18,TRUE
"Cre01.g052150",-3.19667820904244,1.2962034621083e-19,TRUE
